Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Reservoir period,Lithology,Thickness (gross average ft),Thickness (net pay average ft),Porosity,Permeability
ZHIRNOV,MELEKESKIAN,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION/EVAPORITE,51.0,44.8042,NIZHNEVOLZHSKNET,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1870,CARBONIFEROUS,SANDSTONE,262.0,33.0,24.0,30.0
LAGOA PARDA,LAGOA PARDA (URUCUTUCA),BRAZIL,LATIN AMERICA,ESPIRITO SANTO,EXTENSION,-19.6017,-39.8332,PETROBRAS,ONSHORE,OIL,NEARLY DEPLETED,PASSIVE MARGIN,4843,PALEOGENE,SANDSTONE,2133.0,72.0,23.0,350.0
ABQAIQ,ARAB D,SAUDI ARABIA,MIDDLE EAST,THE GULF,COMPRESSION/EVAPORITE,26.08,49.81,SAUDI ARAMCO,ONSHORE,OIL,REJUVENATING,FORELAND,6050,JURASSIC,LIMESTONE,250.0,184.0,21.0,410.0
MURCHISON,BRENT,UK /NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.3833,1.75,CNR,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,8988,JURASSIC,SANDSTONE,425.0,300.0,22.0,750.0
WEST PEMBINA,NISKU (PEMBINA L POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.2287,-115.8008,NUMEROUS,ONSHORE,OIL,UNKNOWN,FORELAND,9306,DEVONIAN,DOLOMITE,233.0,167.0,11.8,1407.0
UCHKYR,XV-1,UZBEKISTAN,FORMER SOVIET UNION,AMU DARYA,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,40.1494,62.9906,SREDAZGAZPROM,ONSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT,5443,JURASSIC,DOLOMITE,82.0,59.0,16.0,61.0
WESTHOPE SOUTH,CHARLES,USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.8521,-101.013,AMERADA HESS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3275,CARBONIFEROUS,DOLOMITIC LIMESTONE,43.0,15.5,10.0,2.6
MCALLEN RANCH,LOWER VICKSBURG,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/SHALE/SYNSEDIMENTATION,26.6226,-98.3153,SHELL,ONSHORE,GAS,MATURE PRODUCTION,DELTA/PASSIVE MARGIN,9400,PALEOGENE,SANDSTONE,300.0,140.0,16.0,0.6
ELLIS RANCH,CLEVELAND,USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,36.2724,-100.7161,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,6500,CARBONIFEROUS,SHALY SANDSTONE,150.0,26.0,14.0,0.4
STRACHAN,LEDUC,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.45,-115.4286,BANF AND AQUITAINE,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,12068,DEVONIAN,DOLOMITE,900.0,535.0,7.8,11.0
MENE GRANDE,ISNOTU,VENEZUELA,LATIN AMERICA,MARACAIBO,COMPRESSION/EROSION,9.8228,-70.9198,REPSOL YPF,ONSHORE,OIL,REJUVENATING,FORELAND,1104,NEOGENE,THINLY-BEDDED SANDSTONE,1400.0,100.0,30.0,1000.0
BADR EL DIN-2,BAHARIYA,,,,EXTENSION,,,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,7546,CRETACEOUS,SANDSTONE,361.0,148.0,20.0,225.0
BRIDGER LAKE,DAKOTA SANDSTONE (LOWER MEMBER),,,,COMPRESSION/EROSION,,,BTA OIL PRODUCERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,15460,CRETACEOUS,SANDSTONE,270.0,35.0,12.8,79.0
JUDY CREEK,SWAN HILLS (JUDY CREEK A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,54.4995,-115.4904,IMPERIAL OIL RESOURCES,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,8540,DEVONIAN,LIMESTONE,230.0,60.0,9.0,45.0
ANGUS,ANGUS SAND,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION/EROSION,56.1648,3.0593,AMERADA HESS,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,10130,JURASSIC,SANDSTONE,100.0,60.0,18.0,3000.0
SCOTT,SGIATH-PIPER,,,,EXTENSION/EVAPORITE,,,NEXEN,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9940,JURASSIC,SANDSTONE,360.0,290.0,16.0,100.0
HEERA,BASSEIN (ZONE B),INDIA,,,EXTENSION,18.172,72.313,ONGC,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,4542,PALEOGENE,LIMESTONE,230.0,82.0,12.0,0.8
HUGOTON-PANHANDLE,CHASE (HUGOTON),USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,37.0386,-101.0039,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,1700,PERMIAN,DOLOMITE,240.0,45.0,14.0,5.0
CUSIANA,MIRADOR,COLOMBIA,LATIN AMERICA,LLANOS,COMPRESSION/SHALE,5.0299,-72.6719,BP AND OTHERS,ONSHORE,OIL,DECLINING PRODUCTION,THRUST/SUB-THRUST/FORELAND,13000,PALEOGENE,SANDSTONE,400.0,200.0,9.0,100.0
CLYDE,FULMAR,UK,EUROPE,NORTH SEA CENTRAL,GRAVITY/EVAPORITE/EXTENSION,56.45,2.2833,TALISMAN,OFFSHORE,OIL,NEARLY DEPLETED,SALT/RIFT,11787,JURASSIC,THINLY-BEDDED SANDSTONE,650.0,390.0,20.0,350.0
BONGKOT,MALAY II,THAILAND,FAR EAST,MALAY,STRIKE-SLIP/INVERSION/COMPRESSION/EXTENSION,8.0876,102.2849,PTTEP,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,WRENCH/INVERSION/BACKARC,3020,NEOGENE,SANDSTONE,3400.0,120.0,22.0,160.0
GIDGEALPA,HUTTON,AUSTRALIA,,,INVERSION/COMPRESSION/EXTENSION,-28.0,140.0,SANTOS,ONSHORE,OIL,PLATEAU PRODUCTION,INTRACRATONIC,5392,JURASSIC,SANDSTONE,600.0,50.0,18.0,1000.0
ALIBEKMOLA,KT II,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,COMPRESSION/EVAPORITE,48.474,57.6667,KAZAKHOIL AKTOBE,ONSHORE,OIL,DEVELOPING,SUB-SALT/FORELAND,9580,CARBONIFEROUS,LIMESTONE,607.0,108.0,10.0,20.0
VENTURE,MIC MAC-MISSISAUGA,CANADA,NORTH AMERICA,SCOTIAN,GRAVITY/SHALE/EXTENSION,44.0377,-59.5735,SABLE OFFSHORE ENERGY,OFFSHORE,GAS,DEVELOPING,PASSIVE MARGIN,14231,JURASSIC-CRETACEOUS,SANDSTONE,5249.0,500.0,14.0,30.0
BILLINGS NOSE,MISSION CANYON (BIG STICK FIELD),USA,NORTH AMERICA,WILLISTON,EXTENSION,47.1,-103.32,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,9450,CARBONIFEROUS,DOLOMITE,100.0,18.0,17.0,20.0
DONGFANG 1-1,YINGGEHAI,CHINA,FAR EAST,YINGGEHAI,TRANSTENSION/EXTENSION/SHALE/LINKED,18.6146,107.9364,CNOOC,OFFSHORE,GAS,DEVELOPING,WRENCH/RIFT,3717,NEOGENE,SANDSTONE,660.0,308.0,25.0,88.3
KEMNITZ,HUECO,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.8909,-103.6007,TENNECO,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,10500,PERMIAN,LIMESTONE,120.0,60.0,9.0,9.0
VACUUM,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.7919,-103.5855,EXXONMOBIL /CONOCOPHILLIPS /CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4250,PERMIAN,DOLOMITE,370.0,150.0,12.0,17.0
ZAKUM,THAMAMA ZONE II,,,,GRAVITY/EVAPORITE/COMPRESSION,,,ADMA /ZADCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,6940,CRETACEOUS,LIMESTONE,145.0,140.0,25.0,30.0
PEMBINA,CARDIUM (PEMBINA RIVER),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.1361,-115.1188,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4000,CRETACEOUS,SANDSTONE,50.0,19.3,13.9,24.0
RAMAN,MARDIN-RAMAN,TURKEY,MIDDLE EAST,TAURUS/ZAGROS,COMPRESSION/EVAPORITE,37.7642,41.3083,TPAO,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,3691,CRETACEOUS,LIMESTONE,175.0,115.0,14.0,10.0
YAERXIA,XIAGOU,CHINA,FAR EAST,JIUQUAN,COMPRESSION/EROSION,39.8015,97.4667,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,11040,CRETACEOUS,SANDSTONE,620.0,115.0,8.5,2.45
ROMASHKINO,PASHIY (D-1 POOL),RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION/EROSION,55.3433,52.8447,TATNEFT,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5463,DEVONIAN,SANDSTONE,115.0,29.0,19.0,375.0
GASIKULE,UPPER GANCHAIGOU-LOWER YOUSHAS,,,,COMPRESSION,,,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,4199,NEOGENE,SANDSTONE,3281.0,81.0,19.0,102.0
VILLEPERDUE,DALLE NACREE,FRANCE,EUROPE,PARIS,EXTENSION,48.8167,3.6,COPAREX /TRITON,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,5990,JURASSIC,LIMESTONE,75.0,60.0,14.0,10.0
UZEN,UNITS XIII-XVIII,,,,INVERSION/COMPRESSION/EXTENSION,,,MANGYSTAUMUNAIGAZ,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,3440,JURASSIC,SANDSTONE,920.0,436.0,21.0,235.0
CANDEIAS,GOMO (CANDEIAS),BRAZIL,LATIN AMERICA,RECONCAVO,EXTENSION,-12.6634,-38.5668,PETROBRAS,ONSHORE,OIL,MATURE PRODUCTION,RIFT,2116,CRETACEOUS,CONGLOMERATE,1476.0,180.0,15.0,30.0
ULA,ULA,,,,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,,,BP,OFFSHORE,OIL,MATURE PRODUCTION,SALT/INVERSION/RIFT,10744,JURASSIC,SANDSTONE,410.0,377.0,16.5,300.0
NIPISI,WATT MOUNTAIN (GILWOOD A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.8199,-115.1317,BP,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5500,DEVONIAN,SANDSTONE,100.0,14.0,13.5,250.0
MINAS,BEKASAP,INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,0.7675,101.4334,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,1960,NEOGENE,SANDSTONE,600.0,200.0,26.0,500.0
NORTH WARD-ESTES,YATES,USA,,,COMPRESSION,31.5777,-102.9918,WHITING OIL and GAS,ONSHORE,OIL,REJUVENATING,FORELAND,2600,PERMIAN,SILTSTONE,300.0,100.0,11.0,16.0
PENWELL,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.7333,-102.5625,CHEVRON /CONOCOPHILLIPS /TOTAL,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3250,PERMIAN,DOLOMITE,400.0,118.0,11.0,3.0
TAGLU,REINDEER,CANADA,NORTH AMERICA,BEAUFORT-MACKENZIE,INVERSION/COMPRESSION/EXTENSION/EROSION,69.3716,-134.8935,IMPERIAL OIL RESOURCES,ONSHORE,GAS,UNDEVELOPED,DELTA/PASSIVE MARGIN,7382,PALEOGENE,SANDSTONE,1970.0,427.0,17.0,150.0
LLOYDMINSTER AREA,WASECA,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,53.2642,-110.0276,HUSKY ENERGY,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900,CRETACEOUS,SANDSTONE,90.0,50.0,34.0,2000.0
PORT ACRES,LOWER HACKBERRY (FRIO),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,29.88,-94.0,PAN AMERICAN PETROLEUM,ONSHORE,GAS-CONDENSATE,ABANDONED,DELTA/SALT/PASSIVE MARGIN,10376,PALEOGENE,SHALY SANDSTONE,400.0,26.0,29.0,275.0
ELK BASIN,MADISON,USA,NORTH AMERICA,BIG HORN,COMPRESSION/EXTENSION/LINKED,44.9789,-108.855,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,THRUST/FORELAND,4350,CARBONIFEROUS,DOLOMITE,780.0,205.0,12.0,7.0
JAY,SMACKOVER,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,30.9557,-87.1783,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,SUB-SALT/PASSIVE MARGIN,15295,JURASSIC,DOLOMITE,350.0,100.0,14.0,35.0
BRAGE,STATFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.5868,3.0943,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7096,TRIASSIC-JURASSIC,SANDSTONE,312.0,82.0,24.0,1500.0
WEMBLEY,HALFWAY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.2197,-119.1749,BP AND OTHERS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,6125,TRIASSIC,SANDSTONE,80.0,22.0,10.2,60.0
YIBAL,KHUFF,,,,COMPRESSION/EVAPORITE,,,PDO,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,9219,PERMIAN,DOLOMITE,670.0,250.0,15.0,5.0
PALM VALLEY,PACOOTA AND STAIRWAY,,,,COMPRESSION/EVAPORITE,,,MAGELLAN PETROLEUM,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,5656,ORDOVICIAN,SANDSTONE,2300.0,174.0,4.0,0.01
DEFA,WAHA-DEFA,LIBYA,AFRICA,SIRT,EXTENSION/INVERSION,28.0781,19.915,LNOC,ONSHORE,OIL,UNKNOWN,RIFT,5193,CRETACEOUS-PALEOGENE,LIMESTONE,860.0,210.0,20.0,20.0
ANETH,PARADOX (DESERT CREEK),USA,NORTH AMERICA,PARADOX,COMPRESSION/EXTENSION/EVAPORITE,37.3038,-109.2469,CHEVRON /EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,5470,CARBONIFEROUS,DOLOMITE,100.0,50.0,10.0,15.0
NUMBI,VERMELHA,ANGOLA,AFRICA,CONGO,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,-5.3099,11.9154,CHEVRON,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE MARGIN,3065,CRETACEOUS,SANDSTONE,450.0,150.0,24.0,500.0
ERSKINE,HEATHER,UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14900,JURASSIC,SANDSTONE,60.0,50.0,20.0,18.0
WUBAITI,HUANGLONG,,,,COMPRESSION,,,PETROCHINA,ONSHORE,GAS,DEVELOPING,THRUST,13780,CARBONIFEROUS,DOLOMITE,98.0,79.0,6.0,0.77
PATRICK DRAW,ALMOND,USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION/EROSION,41.6148,-108.5007,ANADARKO,ONSHORE,OIL,REJUVENATING,FORELAND,4300,CRETACEOUS,SANDSTONE,70.0,20.0,20.0,36.0
MURAVLENKOV,MEGION,RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,63.99,74.95,SIBNEFT (MURAVLENKOVSKNEFT),ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,8399,CRETACEOUS,SANDSTONE,1476.0,102.0,18.5,45.0
SIRIKIT,LAN KRABU,THAILAND,FAR EAST,PHITSANULOK,STRIKE-SLIP/TRANSTENSION/BASEMENT-I,16.63,99.9,SHELL,ONSHORE,OIL,PLATEAU PRODUCTION,WRENCH,4623,NEOGENE,SANDSTONE,1772.0,262.0,20.0,50.0
WEST CHEYENNE,UPPER MORROW (PURYEAR),USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,35.585,-99.7432,APACHE /BURLINGTON,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,14500,CARBONIFEROUS,CONGLOMERATE,46.0,23.0,13.0,0.4
XIAOJI,KONGDIAN-1,CHINA,FAR EAST,BOHAI,EXTENSION,38.17,117.09,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,8750,PALEOGENE,SANDSTONE,1230.0,125.0,15.6,83.0
POKACHEV,VARTOV (BV6),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,61.583,75.1833,SURGUTNEFTEGAS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,7529,CRETACEOUS,SANDSTONE,52.0,19.0,20.0,170.0
PAMPO,MACAE (QUISSAMA),BRAZIL,LATIN AMERICA,CAMPOS,GRAVITY/EXTENSION/EVAPORITE,-22.788,-40.7674,PETROBRAS,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/PASSIVE MARGIN,5781,CRETACEOUS,LIMESTONE,650.0,280.0,25.0,800.0
JINGBIAN,MAJIAGOU-5,CHINA,FAR EAST,ORDOS,COMPRESSION/EROSION,37.6667,108.8333,PETROCHINA,ONSHORE,GAS,DEVELOPING,FORELAND,9800,ORDOVICIAN,DOLOMITE,150.0,47.0,5.6,3.0
WYTCH FARM,SHERWOOD,UK,EUROPE,WESSEX,INVERSION/COMPRESSION/EXTENSION,50.6672,-2.0278,BP,ONSHORE-OFFSHORE,OIL,DECLINING PRODUCTION,RIFT/INVERSION,4954,TRIASSIC,SANDSTONE,525.0,150.0,18.0,100.0
BRANTON,COTTON VALLEY LIME,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,31.3593,-96.2189,MARATHON,ONSHORE,GAS,NEARLY DEPLETED,SALT/PASSIVE MARGIN,14810,JURASSIC,CHALKY LIMESTONE,375.0,200.0,25.0,5.0
INDEFATIGABLE,LEMAN SANDSTONE,UK,,,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,53.3932,2.5239,SHELL /PERENCO,OFFSHORE,GAS,NEARLY DEPLETED,SUB-SALT/INVERSION,7400,PERMIAN,SANDSTONE,200.0,197.0,15.0,30.0
MIDGARD,FANGST,NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION/EROSION,65.0789,7.4898,STATOILHYDRO,OFFSHORE,GAS,DEVELOPING,RIFT,6480,JURASSIC,SANDSTONE,459.0,380.0,27.5,5625.0
ELK-POCA,ORISKANY,USA,NORTH AMERICA,APPALACHIAN,COMPRESSION/EROSION,38.6216,-81.6611,NUMEROUS,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,4850,DEVONIAN,SANDSTONE,35.0,11.0,8.0,27.5
RINCON,FRIO-VICKSBURG,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/SHALE/SYNSEDIMENTATION,26.5307,-98.5866,CONOCOPHILLIPS,ONSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE MARGIN,3400,PALEOGENE,SANDSTONE,1000.0,150.0,26.0,80.0
LANWA,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION/COMPRESSION/EXTENSION,23.568,72.137,ONGC,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,2873,PALEOGENE,SANDSTONE,148.0,33.0,30.0,5000.0
JOFFRE,VIKING,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.283,-113.5543,VIKOR RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4921,CRETACEOUS,SANDSTONE,115.0,10.0,13.2,190.0
MCARTHUR RIVER,HEMLOCK CONGLOMERATE,USA,NORTH AMERICA,COOK INLET,INVERSION/COMPRESSION/EXTENSION,60.8399,-151.6153,CHEVRON,OFFSHORE,OIL,NEARLY DEPLETED,INVERSION/FOREARC,8780,PALEOGENE,CONGLOMERATE,500.0,290.0,11.0,125.0
HIBERNIA,AVALON,CANADA,NORTH AMERICA,JEANNE D ARC,EXTENSION/EVAPORITE/EROSION/GRAVITY,46.7495,-48.7822,HIBERNIA MANAGEMENT DEVELOPMENT CO,OFFSHORE,OIL,DEVELOPING,RIFT/SALT,6627,CRETACEOUS,SANDSTONE,1180.0,115.0,20.0,220.0
ERSKINE,PENTLAND,UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14700,JURASSIC,SANDSTONE,500.0,150.0,16.0,10.0
KULESHOV,A3,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION/EVAPORITE,52.8381,51.2136,KUYBYSHEVNEFT,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5266,CARBONIFEROUS,SANDSTONE,70.0,46.0,20.0,177.0
SHATLYK,SHATLYK (SHATLYK EAST),TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,COMPRESSION/EVAPORITE,37.39,61.1,TURKMENGAS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,11000,CRETACEOUS,SANDSTONE,148.0,63.0,21.8,222.0
SLAUGHTER,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,33.4701,-102.6771,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5100,PERMIAN,DOLOMITE,900.0,70.0,12.0,10.0
LLOYDMINSTER AREA,SPARKY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,53.2642,-110.0276,HUSKY ENERGY,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900,CRETACEOUS,SANDSTONE,58.0,33.0,30.0,2000.0
